Time_of_activity_UK Time,command
14:30,ls -lrt PPSPHA*
14:30,ls -lrt PPSPHC*
14:30,ls -lrt PPSPH7*
14:30,ls -lrt PMDPN9*
14:30,ls -lrt PMDPNT*
14:45,ls -lrt PMDPCL*
14:45,ls -lrt PMDPAZ*
15:00,ls -lrt PPRPAL*
15:00,ls -lrt PRCPSC*
15:00,ls -lrt PPSPIN*
15:00,ls -lrt PPSPSP*
15:00,ls -lrt PCMPMA*
15:00,ls -lrt PPSPLU*
16:00,ls -lrt PPRPAL*
16:00,ls -lrt PRCPSC*
16:00,ls -lrt PPSPIN*
16:00,ls -lrt PPSPSP*
16:00,ls -lrt PPSPLU*
16:00,ls -lrt PPSPNX*
16:40,ls -lrt PPOPEP*
16:45,ls -lrt PPOPSP*
17:00,ls -lrt PPRPAL*
17:00,ls -lrt PRCPSC*
17:00,ls -lrt PPSPIN*
17:00,ls -lrt PPSPSP*
17:00,ls -lrt PPSPLU*
17:10,ls -lrt PCMPMB*
17:10,ls -lrt PMDPEN*
17:30,ls -lrt PPSPH7*
17:35,ls -lrt PMDPCL*
17:45,ls -lrt PMIPDT*
18:00,ls -lrt PRCPSC*
18:00,ls -lrt PPSPIN*
18:00,ls -lrt PPSPSP*
18:00,ls -lrt PPSPLU*
18:00,ls -lrt PPRPAL*
18:05,ls -lrt PCMPH1*
18:30,ls -lrt PMDPN9*
18:30,ls -lrt PMDPNT*
19:00,ls -lrt PPRPAL*
19:00,ls -lrt PPSPIN*
19:00,ls -lrt PPSPSP*
19:00,ls -lrt PPSPLU*
20:00,ls -lrt PPRPAL*
20:00,ls -lrt PRCPSC*
20:00,ls -lrt PPSPIN*
20:00,ls -lrt PPSPSP*
20:30,ls -lrt PPSPHA*
20:30,ls -lrt PPSPHC*
20:30,ls -lrt PPSPH7*
20:30,ls -lrt PPRPAL*
20:30,ls -lrt PPSPLU*
20:50,ls -lrt PMDPCL*
21:00,ls -lrt PPRPAL*
21:05,ls -lrt PCMPMB*
21:10,ls -lrt PRCPSC*
21:10,ls -lrt PPSPSP*
21:10,ls -lrt PMDPCL*
21:10,ls -lrt PPSPNX*
21:15,ls -lrt PPSPNF*
21:15,ls -lrt PPTPAZ*
21:30,ls -lrt PMDPN8*
22:00,ls -lrt PPRPAL*
22:00,ls -lrt PMDPN8*
22:00,ls -lrt PPOPSW*
22:00,ls -lrt PCMPDS*
22:00,ls -lrt PRCPSC*
22:00,ls -lrt PPSPIN*
22:00,ls -lrt PPSPSP*
22:00,ls -lrt PCMPMA*
22:05,ls -lrt PMDPCL*
22:00,ls -lrt PPSPNX*
22:00,ls -lrt PPSPNF*
22:30,ls -lrt PPSPGP*
22:30,ls -lrt PPSPHA*
22:30,ls -lrt PPSPHC*
22:30,ls -lrt PPSPH7*
22:35,ls -lrt PMDPN8*
23:00,ls -lrt PPRPAL*
23:00,ls -lrt PPSPGP*
23:00,ls -lrt PPTPAZ*
23:00,ls -lrt PRCPSC*
23:00,ls -lrt PPSPIN*
23:00,ls -lrt PPSPSP*
23:00,ls -lrt PCMPIV*
23:00,ls -lrt PPSPNX*
23:00,ls -lrt PPSPNF*
23:00,ls -lrt PPSPLU*
23:05,ls -lrt PMDPCL*
23:30,ls -lrt PPRPAL*
23:30,ls -lrt PMDPCL*
23:35,ls -lrt PMDPCL*
0:00,ls -lrt PPRPAL*
0:00,ls -lrt PRCPSC*
0:00,ls -lrt PPSPIN*
0:00,ls -lrt PPSPSP*
0:00,ls -lrt PCMPMA*
0:00,ls -lrt PPSPLU*
0:00,ls -lrt PPSPNX*
0:00,ls -lrt PPSPNF*
